mudra_name,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_finger_mcp_x,index_finger_mcp_y,index_finger_pip_x,index_finger_pip_y,index_finger_dip_x,index_finger_dip_y,index_finger_tip_x,index_finger_tip_y,middle_finger_mcp_x,middle_finger_mcp_y,middle_finger_pip_x,middle_finger_pip_y,middle_finger_dip_x,middle_finger_dip_y,middle_finger_tip_x,middle_finger_tip_y,ring_finger_mcp_x,ring_finger_mcp_y,ring_finger_pip_x,ring_finger_pip_y,ring_finger_dip_x,ring_finger_dip_y,ring_finger_tip_x,ring_finger_tip_y,pinky_finger_mcp_x,pinky_finger_mcp_y,pinky_finger_pip_x,pinky_finger_pip_y,pinky_finger_dip_x,pinky_finger_dip_y,pinky_finger_tip_x,pinky_finger_tip_y
arala,left,110.31,169.49,128.72,161.24,141.19,140.58,149.45,122.19,143.7,108.53,132.64,117.71,136.51,105.23,134.28,117.22,129.27,129.05,122.74,112.61,124.16,87.78,123.27,71.11,121.61,55.75,112.04,112.8,112.57,88.87,113.23,72.25,113.41,57.33,100.32,117.21,100.83,97.91,101.6,85.08,102.57,73.06
arala,left,110.07,169.87,128.74,161.93,141.1,141.41,149.34,122.67,143.96,108.43,133.14,118.11,136.81,105.08,134.33,116.55,129.17,128.11,123.06,112.98,124.55,87.78,123.62,71.31,121.9,56.6,112.25,113.12,112.64,89.04,113.27,72.52,113.33,57.98,100.38,117.57,100.95,98.28,101.78,85.51,102.69,73.59
arala,left,109.6,170.27,128.48,162.57,141.36,141.83,149.86,122.91,144.19,108.66,133.35,118.88,137.07,105.78,134.56,117.6,129.35,129.36,123.44,113.56,124.97,88.33,124.11,71.62,122.57,56.29,112.74,113.41,113.42,89.34,114.29,72.65,114.58,57.81,100.88,117.42,101.47,98.14,102.4,85.36,103.44,73.39
arala,left,108.67,169.57,128.04,163.35,141.63,142.29,150.24,122.4,143.15,108.63,133.6,118.97,138,105.22,134.19,117.14,127.98,128.98,123.61,113.6,125.35,88.85,124.78,72.65,123.68,57.61,113.06,113.39,114.13,89.51,115.7,73.01,116.35,58.2,101.69,117.21,102.68,98.78,103.59,85.96,104.39,73.73
arala,left,108.67,169.57,128.04,163.35,141.63,142.29,150.24,122.4,143.15,108.63,133.6,118.97,138,105.22,134.19,117.14,127.98,128.98,123.61,113.6,125.35,88.85,124.78,72.65,123.68,57.61,113.06,113.39,114.13,89.51,115.7,73.01,116.35,58.2,101.69,117.21,102.68,98.78,103.59,85.96,104.39,73.73
arala,left,107.88,167.31,126.97,162.56,141.57,141.95,150.67,122.26,143.01,109.4,134.01,118.97,138.27,105.12,134.3,116.94,128.22,128.34,124.08,113.27,126.07,88.77,126.24,72.65,125.89,57.16,113.62,112.76,114.34,89.29,116.1,73.36,116.94,58.89,102.4,116.41,103.4,98.34,104.56,86.12,105.61,74.57
arala,left,107.88,167.31,126.97,162.56,141.57,141.95,150.67,122.26,143.01,109.4,134.01,118.97,138.27,105.12,134.3,116.94,128.22,128.34,124.08,113.27,126.07,88.77,126.24,72.65,125.89,57.16,113.62,112.76,114.34,89.29,116.1,73.36,116.94,58.89,102.4,116.41,103.4,98.34,104.56,86.12,105.61,74.57
arala,left,107.47,167.19,127.1,161.6,141.51,141.32,149.86,120.74,142.26,107.2,134.06,118.4,138.48,101.68,133.56,109.84,126.84,118.04,124.41,112.99,127.62,88.2,128.25,72.8,128.35,58.46,114.34,112.42,116.2,88.76,118.26,72.8,119.17,58.88,103.11,115.77,104.73,97.31,106.31,85.03,107.6,73.6
arala,left,107.47,167.19,127.1,161.6,141.51,141.32,149.86,120.74,142.26,107.2,134.06,118.4,138.48,101.68,133.56,109.84,126.84,118.04,124.41,112.99,127.62,88.2,128.25,72.8,128.35,58.46,114.34,112.42,116.2,88.76,118.26,72.8,119.17,58.88,103.11,115.77,104.73,97.31,106.31,85.03,107.6,73.6
arala,left,95.55,176.22,116.17,168.43,128.9,145.76,136.22,124.31,134.1,108.23,119.92,124.22,124.74,104.62,118.92,110.89,111.17,117.11,110.19,119.86,114.18,94.9,115.14,78.48,115.43,63.63,100.28,120.26,102.87,95.68,105.77,79.31,107.62,65.07,89.61,124.18,91.57,104.83,93.55,92.3,95.55,80.6
arala,left,107.59,166.1,127.19,160.07,141.29,140.01,149.23,119.92,142.54,106.1,134.54,118.06,139.12,102.26,134.88,112.21,128.77,122.57,125,112.42,128.54,87.65,129.26,71.67,129.66,56.61,114.88,111.63,117.15,87.96,119.27,72.02,120.58,58.04,103.51,114.69,105.33,96,107.25,83.58,109.1,72.1
arala,left,108.93,165.2,127.54,157.85,141.23,137.56,148.67,116.94,142.93,101.97,133.5,112.5,134.13,89.05,132.87,72.53,131.13,58.53,124.77,109.78,126.82,84.8,127.78,67.89,128.15,53.31,115.53,110.45,117.41,86.56,119.81,70.43,121.12,57.15,104.37,113.84,106.56,95.23,108.79,82.47,110.78,71.14
arala,left,110.58,164.86,129.19,156.15,142.18,136.31,149.13,115.6,142.17,101.01,132.97,111.26,132.84,88,130.83,71.45,128.4,57.56,124.01,108.78,124.72,83.73,124.39,66.65,123.59,51.93,114.79,109.67,115.87,85.76,117.49,69.96,117.89,56.91,103.9,113.39,105.76,94.98,107.34,82.44,108.48,71.48
arala,left,110.58,164.86,129.19,156.15,142.18,136.31,149.13,115.6,142.17,101.01,132.97,111.26,132.84,88,130.83,71.45,128.4,57.56,124.01,108.78,124.72,83.73,124.39,66.65,123.59,51.93,114.79,109.67,115.87,85.76,117.49,69.96,117.89,56.91,103.9,113.39,105.76,94.98,107.34,82.44,108.48,71.48
arala,left,111.68,165.37,129.72,156.64,142.11,136.13,147.97,115.28,140.65,100.7,131.87,110.29,130.95,86.78,128.81,70.15,126.27,56.04,123,108.17,123.07,83.14,122.59,66.18,121.73,51.49,113.85,109.39,114.01,85.56,115.22,69.55,115.48,56.1,103.06,113.43,103.98,94.68,105.37,81.86,106.53,70.53
arala,left,111.68,165.37,129.72,156.64,142.11,136.13,147.97,115.28,140.65,100.7,131.87,110.29,130.95,86.78,128.81,70.15,126.27,56.04,123,108.17,123.07,83.14,122.59,66.18,121.73,51.49,113.85,109.39,114.01,85.56,115.22,69.55,115.48,56.1,103.06,113.43,103.98,94.68,105.37,81.86,106.53,70.53
arala,left,111.89,165.75,129.79,156.1,141.8,136.24,147.65,115.49,140.53,100.71,131.22,110.44,130.42,87.18,128.4,70.83,126.02,56.75,122.65,108.36,122.68,83.41,122.2,66.5,121.18,51.81,113.71,109.73,113.58,85.92,114.64,69.89,114.63,56.35,103.05,114.04,103.8,95.33,105.13,82.53,106.16,71.2
arala,left,111.89,165.75,129.79,156.1,141.8,136.24,147.65,115.49,140.53,100.71,131.22,110.44,130.42,87.18,128.4,70.83,126.02,56.75,122.65,108.36,122.68,83.41,122.2,66.5,121.18,51.81,113.71,109.73,113.58,85.92,114.64,69.89,114.63,56.35,103.05,114.04,103.8,95.33,105.13,82.53,106.16,71.2
arala,left,111.83,164.81,129.83,155.92,141.96,135.58,147.8,114.91,140.18,100.92,131.45,110.21,130.73,87.23,128.75,70.74,126.22,56.58,123.07,108.08,123.36,83.45,123.18,66.67,122.24,51.97,114.32,109.23,114.38,85.63,115.54,69.82,115.43,56.35,103.77,113.39,104.34,95.09,105.37,82.62,105.87,71.46
arala,left,111.83,164.81,129.83,155.92,141.96,135.58,147.8,114.91,140.18,100.92,131.45,110.21,130.73,87.23,128.75,70.74,126.22,56.58,123.07,108.08,123.36,83.45,123.18,66.67,122.24,51.97,114.32,109.23,114.38,85.63,115.54,69.82,115.43,56.35,103.77,113.39,104.34,95.09,105.37,82.62,105.87,71.46
arala,left,95.55,176.22,116.17,168.43,128.9,145.76,136.22,124.31,134.1,108.23,119.92,124.22,124.74,104.62,118.92,110.89,111.17,117.11,110.19,119.86,114.18,94.9,115.14,78.48,115.43,63.63,100.28,120.26,102.87,95.68,105.77,79.31,107.62,65.07,89.61,124.18,91.57,104.83,93.55,92.3,95.55,80.6
arala,left,112.62,164.6,130.71,155.56,142.68,135.3,148.18,114.74,140.78,100.9,132.15,110.09,131.55,86.87,129.65,70.57,127.22,56.56,123.57,108.04,123.84,83.15,123.82,66.35,123.09,51.96,114.74,109.24,114.79,85.29,116.21,69.57,116.39,56.53,104.31,113.48,105.14,95.03,106.26,82.47,106.8,71.48
arala,left,112.62,164.6,130.71,155.56,142.68,135.3,148.18,114.74,140.78,100.9,132.15,110.09,131.55,86.87,129.65,70.57,127.22,56.56,123.57,108.04,123.84,83.15,123.82,66.35,123.09,51.96,114.74,109.24,114.79,85.29,116.21,69.57,116.39,56.53,104.31,113.48,105.14,95.03,106.26,82.47,106.8,71.48
arala,left,113.09,163.71,130.51,155.52,142.96,135.46,148.62,115.02,139.99,101.85,132.09,110.01,131.23,86.69,129.37,70.36,127.19,56.51,123.51,108,123.56,83.38,123.36,66.67,122.88,52.11,114.7,109.21,114.82,85.57,116.13,69.6,116.66,56.27,104.37,113.22,105.15,94.86,106.47,82.08,107.64,70.8
arala,left,112.01,164.39,129.88,155.1,142.39,135.36,147.94,114.52,139.24,100.96,131.89,110.1,131.3,87.22,129.14,71.11,126.56,57.14,123.23,107.91,123.59,83.61,123.3,67.16,122.65,52.36,114.42,109.33,114.73,85.91,115.99,70.16,116.39,56.91,104.03,113.64,104.59,95.26,105.93,82.54,107.12,71.22
arala,left,111.44,164.03,129.58,154.62,141.22,134.32,145.32,112.94,135.44,100.93,130.62,111.69,129.07,89.81,125.61,73.31,121.68,59.26,121.83,109.34,122.16,85.01,122.13,68.15,121.63,52.84,112.98,110.39,112.99,86.91,114.26,70.7,114.59,57.11,102.52,114.33,102.77,96.29,104.03,83.38,105,71.89
arala,left,111.44,164.03,129.58,154.62,141.22,134.32,145.32,112.94,135.44,100.93,130.62,111.69,129.07,89.81,125.61,73.31,121.68,59.26,121.83,109.34,122.16,85.01,122.13,68.15,121.63,52.84,112.98,110.39,112.99,86.91,114.26,70.7,114.59,57.11,102.52,114.33,102.77,96.29,104.03,83.38,105,71.89
arala,left,111.29,163.83,128.8,153.76,139.44,132.54,142.49,111.85,133.08,100.51,129.19,112.12,127.21,91.58,122.48,75.91,117.23,62.65,120.33,109.9,120.57,85.94,120.59,68.72,119.92,53.31,111.56,111.24,110.85,87.76,111.85,71.35,112.22,57.73,101.52,115.55,100.62,97.7,101.6,85.02,102.52,73.64
arala,left,111.29,163.83,128.8,153.76,139.44,132.54,142.49,111.85,133.08,100.51,129.19,112.12,127.21,91.58,122.48,75.91,117.23,62.65,120.33,109.9,120.57,85.94,120.59,68.72,119.92,53.31,111.56,111.24,110.85,87.76,111.85,71.35,112.22,57.73,101.52,115.55,100.62,97.7,101.6,85.02,102.52,73.64
arala,left,110.87,165.83,128.89,156.61,138.96,133.88,143.43,112.8,135.36,100.5,129.67,115.64,133.53,99.67,130.05,109.34,124.07,118.99,120.21,111.85,121.83,88.05,121.26,72.45,120.19,57.52,110.69,112.59,111.01,89.26,111.89,73.06,112.09,58.82,100.54,116.91,100.31,98.8,101.22,86.56,102.21,75.18
arala,left,110.87,165.83,128.89,156.61,138.96,133.88,143.43,112.8,135.36,100.5,129.67,115.64,133.53,99.67,130.05,109.34,124.07,118.99,120.21,111.85,121.83,88.05,121.26,72.45,120.19,57.52,110.69,112.59,111.01,89.26,111.89,73.06,112.09,58.82,100.54,116.91,100.31,98.8,101.22,86.56,102.21,75.18
arala,left,96.36,175.37,116.25,167.74,128.87,145.26,135.85,123.82,133.84,107.94,119.19,123.56,121.48,101.98,117.9,94.62,113.68,88.84,109.59,119.62,112.61,94.62,114,77.13,114.84,61.7,99.98,119.94,102.07,95.36,104.99,78.66,107.05,64.41,89.52,123.47,91.28,104.16,93.23,91.5,95.35,79.9
arala,left,111.44,165.48,129.65,156.36,139.63,133.99,144.95,112.87,138.65,98.87,131.11,115.78,134.16,99.71,131.24,111.18,126.19,123.04,121.29,112.09,122.39,87.88,121.66,71.95,120.72,56.76,111.6,112.91,111.5,89.35,112.28,73.33,112.76,59.28,101.45,117.5,101.23,98.94,101.79,86.58,102.75,75.18
arala,left,111.44,165.48,129.65,156.36,139.63,133.99,144.95,112.87,138.65,98.87,131.11,115.78,134.16,99.71,131.24,111.18,126.19,123.04,121.29,112.09,122.39,87.88,121.66,71.95,120.72,56.76,111.6,112.91,111.5,89.35,112.28,73.33,112.76,59.28,101.45,117.5,101.23,98.94,101.79,86.58,102.75,75.18
arala,left,112.38,165.04,131.36,155.39,140.93,133.84,145.32,112.75,144.45,95.55,131.86,115.27,135.26,97.99,132.48,106.6,128.1,116.15,122.16,111.77,123.24,87.79,121.98,72.22,121.19,58.16,112.48,112.92,112.82,89.35,113.55,73.34,114.52,59.84,102.34,117.71,101.93,99.01,102.96,86.74,104.61,75.44
arala,left,112.38,165.04,131.36,155.39,140.93,133.84,145.32,112.75,144.45,95.55,131.86,115.27,135.26,97.99,132.48,106.6,128.1,116.15,122.16,111.77,123.24,87.79,121.98,72.22,121.19,58.16,112.48,112.92,112.82,89.35,113.55,73.34,114.52,59.84,102.34,117.71,101.93,99.01,102.96,86.74,104.61,75.44
arala,left,112.24,165.41,131.76,155.95,141.41,133.87,145.88,112.82,145.87,95.47,132.83,115.97,135.84,99.6,132.57,110.5,127.38,122.1,122.78,112.29,124,88.5,122.87,72.25,121.91,57.06,112.44,113.08,112.56,89.75,113.21,73.74,114.07,59.95,101.73,117.55,101.38,98.82,102.47,86.49,104.27,75.07
arala,left,112.78,165.45,131.83,155.59,142.01,134.28,147.02,114.29,144.81,97.63,133.45,115.57,136.1,99.48,133.81,110.91,129.7,122.87,123.28,111.79,124.29,87.46,123.07,71.01,121.86,55.62,112.74,112.78,112.55,89.28,112.87,73.03,113.4,58.86,101.63,117.57,101.39,98.64,102.12,85.97,103.52,74.14
arala,left,112.51,165.71,131.57,155.51,141.97,134.38,146.9,114.28,144.9,97.36,133.25,115.77,135.95,99.86,133.82,110.88,130,122.77,123.12,111.92,124.11,87.44,122.85,70.7,121.63,55.06,112.71,112.79,112.52,89.36,112.73,73,113.21,58.72,101.59,117.6,101.21,98.79,101.93,86.17,103.34,74.4
arala,left,112.96,165.15,132.16,155.24,142.23,134.13,147.37,113.84,145.33,97.06,132.53,115.5,136.45,99.16,134.75,107.16,130.9,116.89,122.64,111.87,124.04,87.8,122.83,71.26,121.54,56.28,112.46,112.75,112.79,89.37,113.28,72.63,113.75,58.34,101.57,117.22,101.44,98.6,102.37,85.92,103.82,74.2
arala,left,113.23,165.72,130.93,156.6,141.82,135.34,148.26,115.59,145.09,99.47,132.92,114.93,136.78,99.36,135.06,110.78,131.06,122.63,123.29,110.91,124.92,86.49,124.39,70.21,123.65,54.85,113.14,111.75,113.41,88.34,114.18,72.14,114.88,57.73,102.27,116.57,102.25,98.17,103.25,85.83,104.8,74.3
arala,left,113.05,165.89,131.18,156.77,141.96,135.55,148.59,115.9,144.24,100.63,132.62,114.74,136.71,99.39,134.88,110.77,130.49,122.51,123.07,110.79,124.79,86.21,124.42,69.96,123.59,54.72,113.05,111.63,113.33,88.13,114.1,71.79,114.56,57.36,102.26,116.5,102.28,97.92,103.33,85.35,104.71,73.69
arala,left,95.56,175.72,116.09,168.71,129.23,145.88,136.88,124.39,134.26,108.67,120.22,124.14,124.81,104.8,119.28,110.17,112.14,115.24,110.29,119.52,113.97,94.92,115.07,78.76,115.6,64.12,100.29,119.74,102.88,95.61,106.08,79.45,108.15,65.3,89.63,123.56,92.04,104.27,94.04,91.94,96.05,80.37
arala,left,113.05,165.89,131.18,156.77,141.96,135.55,148.59,115.9,144.24,100.63,132.62,114.74,136.71,99.39,134.88,110.77,130.49,122.51,123.07,110.79,124.79,86.21,124.42,69.96,123.59,54.72,113.05,111.63,113.33,88.13,114.1,71.79,114.56,57.36,102.26,116.5,102.28,97.92,103.33,85.35,104.71,73.69
arala,left,112.65,167.37,130.67,157.42,141.62,136.07,148.14,116.03,143.37,101.06,132.01,114.54,135.61,95.63,132.81,102.24,127.7,110.06,122.59,110.83,124.41,85.66,124.11,69.79,123.4,55.8,112.95,111.83,113.43,87.9,114.38,71.58,114.92,57.85,102.23,116.51,102.5,97.45,103.74,84.8,105.33,73.11
arala,left,113.31,165.72,130.82,155.56,141.65,134.95,147.48,114.83,141.99,100.44,131.24,112.06,129.66,90.48,125.92,76.13,121.83,64.2,122.1,110.01,122.39,85.1,122.09,67.54,121.51,51.88,112.96,111.69,112.54,87.75,113.37,71,114.14,56.94,102.52,116.36,102.34,97.63,103.62,84.72,105.4,72.96
arala,left,113.59,166.12,131.15,156.05,141.65,135.2,147.34,114.84,141.78,100.19,131.52,112.52,130.54,91.09,126.19,78.28,121.37,68.27,122.12,110.18,122.71,85.09,121.97,67.32,120.95,51.5,112.85,111.86,112.64,87.54,113.55,70.68,114.23,56.38,102.39,116.72,102.3,98.05,103.57,85.2,105.26,73.29
arala,left,113.48,167.22,131,156.76,141.85,135.98,147.92,115.28,141.89,100.33,131.13,112,129.73,89.53,126.39,73.69,122.62,60.18,121.95,110.26,122.1,85,121.39,67.69,120.23,52.18,112.81,112.08,112.49,87.79,113.42,71.12,113.81,57.03,102.38,116.78,102.24,97.86,103.37,84.81,104.82,72.91
arala,left,113.48,167.22,131,156.76,141.85,135.98,147.92,115.28,141.89,100.33,131.13,112,129.73,89.53,126.39,73.69,122.62,60.18,121.95,110.26,122.1,85,121.39,67.69,120.23,52.18,112.81,112.08,112.49,87.79,113.42,71.12,113.81,57.03,102.38,116.78,102.24,97.86,103.37,84.81,104.82,72.91
arala,left,113.25,166.5,130.83,156.79,142.11,136.27,147.87,115.53,140.84,101.29,131.83,111.83,130.38,89.76,126.76,73.97,122.64,60.58,122.6,109.95,122.74,85.12,122.01,67.99,120.76,52.49,113.34,111.73,113.04,87.9,113.91,71.51,114.13,57.55,102.58,116.43,102.59,97.72,103.84,84.9,105.29,73.25
arala,left,113.25,166.5,130.83,156.79,142.11,136.27,147.87,115.53,140.84,101.29,131.83,111.83,130.38,89.76,126.76,73.97,122.64,60.58,122.6,109.95,122.74,85.12,122.01,67.99,120.76,52.49,113.34,111.73,113.04,87.9,113.91,71.51,114.13,57.55,102.58,116.43,102.59,97.72,103.84,84.9,105.29,73.25
arala,left,113.38,166.72,130.85,156.65,142.19,136.11,148.22,115.41,140.94,101.29,131.66,111.66,130.41,89.43,127.18,73.79,123.61,60.69,122.45,109.77,122.59,84.91,121.83,67.94,120.73,52.64,113.21,111.53,112.91,87.62,113.79,71.32,114.1,57.49,102.46,116.21,102.6,97.58,103.96,84.81,105.6,73.3
arala,left,113.38,166.72,130.85,156.65,142.19,136.11,148.22,115.41,140.94,101.29,131.66,111.66,130.41,89.43,127.18,73.79,123.61,60.69,122.45,109.77,122.59,84.91,121.83,67.94,120.73,52.64,113.21,111.53,112.91,87.62,113.79,71.32,114.1,57.49,102.46,116.21,102.6,97.58,103.96,84.81,105.6,73.3
arala,left,95.51,175.46,116.06,169.11,129.03,146.51,136.25,125.48,134.93,109.45,121.29,123.92,126.52,106.11,121.88,115.66,114.94,125.26,111.4,119.61,115.23,94.98,116.23,78.65,116.42,63.88,101.09,120.08,103.73,95.86,106.51,79.66,108.26,65.28,90.09,124.21,92.44,104.91,94.46,92.42,96.4,80.66
arala,left,113.35,165.9,131.01,156.01,142.25,135.54,148.14,114.89,141.22,100.7,131.06,110.83,129.94,88.04,127.34,72.06,124.27,58.5,122.01,109.2,121.99,84.44,121.36,67.81,120.42,52.98,112.89,110.98,112.68,87.32,113.7,71.27,114.12,57.79,102.22,115.55,102.48,96.85,103.86,84.04,105.45,72.6
arala,left,113.35,165.9,131.01,156.01,142.25,135.54,148.14,114.89,141.22,100.7,131.06,110.83,129.94,88.04,127.34,72.06,124.27,58.5,122.01,109.2,121.99,84.44,121.36,67.81,120.42,52.98,112.89,110.98,112.68,87.32,113.7,71.27,114.12,57.79,102.22,115.55,102.48,96.85,103.86,84.04,105.45,72.6
arala,left,113.74,165.18,131.26,155.93,142.58,135.37,148.32,114.46,141.8,99.95,131.2,110.87,129.94,88.08,127.37,71.92,124.22,58.46,122.29,109.16,122.3,84.37,121.56,67.63,120.36,53.02,113.26,110.78,113.16,87.14,113.94,71.09,113.95,57.74,102.57,115.33,103.06,96.65,104.01,83.8,104.82,72.48
arala,left,113.74,165.18,131.26,155.93,142.58,135.37,148.32,114.46,141.8,99.95,131.2,110.87,129.94,88.08,127.37,71.92,124.22,58.46,122.29,109.16,122.3,84.37,121.56,67.63,120.36,53.02,113.26,110.78,113.16,87.14,113.94,71.09,113.95,57.74,102.57,115.33,103.06,96.65,104.01,83.8,104.82,72.48
arala,left,114.04,165.04,131.6,155.57,142.81,135.05,148.29,114.3,141.28,100.08,130.88,110.21,129.6,87.47,127.27,71.56,124.47,58.28,121.96,108.69,121.7,84.06,121.05,67.56,120.15,53.03,113.06,110.49,112.85,86.93,113.69,71,113.88,57.67,102.65,115.28,103.14,96.71,104.21,83.95,105.19,72.76
